Timestamp,CONSENT SURVEY:,What age group do you belong to?,What is your sex?,What is your highest education attainment?,What region are you from?,Name of Your Company:,1A. Our workforce knows our organization's mission (what are we trying to accomplish).,1B. Our workforce knows our organization's vision (where it is trying to go in the future).,1C. Our leadership team is ethical and demonstrates our organization's values.,1D. Our leadership team creates a work environment that helps our employees do their jobs.,1E. Our leadership team shares the information about the organization.,1F. Our leadership team asks employees what they think.,"2A. As our leadership team plans for the future, we ask our employees for their ideas.",2B. Our organization encourages totally new ideas (innovation).,2C. Our employees know the parts of our organization's plans that will affect them and their work.,2D. Our employees know how to tell if they are making progress on their workgroup's part of the plan.,2E. Our organization is felixble and makes changes quickly when needed. ,3A. Our employees know who their most important customers are,3B. Our employees regularly ask their customers what they need and want.,3C. Our employees ask if their customers are satisfied or dissatisfied with their work.,3D. Our employees are allowed to make decisions to satisfy their customers.,3E. Our employees also know who our organization's most important customers are.,4A. Our employees know how to measure the quality of their work.,4B. Our employees use this information to make changes that will improve their work.,4C. Our employees know how the measures they use in their work fit into our organization's overall measures of improvement.,4D. Our employees get all the information they need to do their work.,4E. Our employee know how our organization as a whole is doing.,5A. Our employees cooperate and work as a team.,5B. Our leadership team encourages and enables our employees to develop their job skills so they can advance in their careers.,5C. Our employees are recognized for their work.,5D. Our organization has a safe workplace.,5E. Our managers and our organization care about our workforce.,5F. Our workforce is committed to our organization's success.,6A. Our employees can get everything they need to do their jobs.,6B. Our organization has a good processes for doing its work.,6C. Our employees can improve their personal work process when necessary.,6D. Our organization is prepared to handle an emergency. ,7A. Our employee's work products meet all requirements.,7B. Our employee's customers are satisfied with their work.,7C. Our workforce knows how well our organization is doing financially.,7D. Our organization has the right people and skills to do its work.,7E. Our organization removes things that get in the way of progress.,7F. Our organization obeys laws and regulations.,7G. Our organization practices high standards and ethics.,7H. Our organization helps our employees help their community.,7I. Our employees believes our organization is a good place to work.
7/7/2022 14:52:03,AGREE,50 to 60 years old,Female,College Graduate,Region IV-B: (Mimaropa) Southwestern Tagalog Region,Rejanos Bakery,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4
7/11/2022 8:07:15,AGREE,31 to 40 years old,Female,College Graduate,Region X: Northern Mindanao,SLERS Industries Inc.,4,4,3,4,4,4,4,4,4,3,4,4,3,3,4,4,3,4,3,3,3,4,4,3,4,3,4,4,4,4,3,4,3,4,4,4,3,3,4,4
7/11/2022 10:29:28,AGREE,60 years old and above,Female,College Graduate,Region XIII: Caraga,MAFFISCO-MPC,4,4,3,3,4,3,3,4,3,3,4,4,4,3,3,4,3,4,3,4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4
7/11/2022 10:31:29,AGREE,50 to 60 years old,Male,College Level,Region XIII: Caraga,MAFFISCO-MPC,3,3,3,3,4,4,4,3,4,3,4,4,3,2,3,3,2,3,3,4,3,3,3,4,4,4,4,4,3,4,3,4,3,4,3,3,4,4,4,4
7/11/2022 11:43:09,AGREE,41 to 50 years old,Male,College Graduate,Region VII: Central Visayas,MAFFISCO-MPC,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3
7/11/2022 11:49:41,AGREE,31 to 40 years old,Female,College Graduate,Region XIII: Caraga,MAFFISCO-MPC,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,4,3,3,3
7/11/2022 14:49:55,AGREE,50 to 60 years old,Male,College Graduate,Region XIII: Caraga,MAFFISCO-MPC,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4
7/11/2022 14:57:47,AGREE,50 to 60 years old,Male,College Graduate,Region XIII: Caraga,MAFFISCO-MPC,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4
7/11/2022 15:58:40,AGREE,50 to 60 years old,Male,College Graduate,Region XIII: Caraga,MAFFISCO-MPC,3,3,4,4,4,4,4,4,3,3,3,3,2,2,3,3,2,2,2,2,3,3,3,3,3,4,3,4,3,3,3,3,3,4,3,4,4,4,4,4
7/13/2022 9:20:28,AGREE,31 to 40 years old,Female,College Graduate,Region X: Northern Mindanao,SLERS Industries Inc.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4
