Timestamp,CONSENT SURVEY:,What age group do you belong to?,What is your sex?,What is your highest education attainment?,What region are you from?,Name of Your Company:,1A. I know my organization's mission (what it is trying to accomplish).,1B. I know my organization's vision (where it is trying to go in the future).,1C. My senior (top) leaders are ethical and demonstrate our organization's value.,1D. My senior leaders create a work environment that helps me do my job.,1E. My organization's leaders share information about the organization.,1F. My organization asks what I think.,"2A. As it plans for the future, my organization asks for my ideas.",2B. My organization encourages totally new ideas (innovation).,2C. I know the parts of my organization's plans that will affect me and my work.,2D. I know how to tell if we are making progress on my workgroup's part of the plan.,2E. My organization is flexible and makes changes quickly when needed.,3A. I know who my most important customers are.,3B. I regulary ask my customers what they needs and want.,3C. I ask if my customers are satisfied or dissatisfied with my work.,3D. I am allowed to make decisions to satisfy my customers.,3E. I also know who my organization's most important customers are.,4A. I know how to measure the quality of work.,4B. I can use this information to make changes that will improve my work.,4C. I know how the measures I use in my work fit into the organization's overall measures of improvement.,4D. I get all the important information I need to do my work.,4E. I know how my organization as a whole is doing.,5A. The people I work with cooperate and work as a team.,5B. My bosses encourage me to develop my job skills so I can advance in my career.,5C. I am recognized for my work.,5D. I have a safe workplace.,5E. My bosses and my organization care about me.,5F. I am committed to my organization's success.,6A. I can get everything I need to do my job.,6B. We have good processes for doing our work.,6C. I can improve my work processes when necessary.,6D. We are prepared to handle the emergency.,7A. My work products meet all requirements.,7B. My customers are satisified with my work.,7C. I know how well my organization is doing financially.,7D. My organization has the right people and skills to do its work.,7E. My organization removes things that get in the way of progess.,7F. My organization obeys laws and regulations.,7G. My organization practices high standards and ethics.,7H. My organization helps me help my community.,7I. My organization is good place to work.
7/7/2022 14:52:13,AGREE,20 years old and Below,Male,High School Graduate,Region IV-B: (Mimaropa) Southwestern Tagalog Region,Rejanos Bakery,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3
7/7/2022 15:20:10,AGREE,31 to 40 years old,Female,College Level,Region IV-B: (Mimaropa) Southwestern Tagalog Region,Rejanos Bakery,4,4,4,3,4,3,2,3,3,2,3,4,4,3,3,4,3,2,2,2,4,3,4,4,4,4,4,4,4,4,4,4,4,2,3,3,4,3,4,3
7/7/2022 15:20:11,AGREE,50 to 60 years old,Female,College Graduate,Region IV-B: (Mimaropa) Southwestern Tagalog Region,Rejanos Bakery,3,3,3,3,4,4,3,3,3,3,3,4,4,4,4,3,1,1,1,3,4,2,3,3,4,4,4,4,3,4,3,3,3,3,2,3,4,3,3,3
7/7/2022 15:20:12,AGREE,21 to 30 years old,Female,High School Graduate,Region IV-B: (Mimaropa) Southwestern Tagalog Region,Rejanos Bakery,3,3,4,3,4,4,3,3,3,3,3,4,4,4,4,4,1,1,1,2,3,2,3,3,4,3,4,4,3,4,4,3,3,2,2,1,4,3,3,3
7/7/2022 15:20:19,AGREE,50 to 60 years old,Female,High School Level,Region IV-B: (Mimaropa) Southwestern Tagalog Region,Rejanos Bakery,4,3,4,3,4,4,2,4,2,2,4,4,4,2,4,4,2,2,2,4,3,3,3,4,4,4,4,4,4,4,3,4,4,2,3,3,4,3,4,4
7/11/2022 10:18:20,AGREE,31 to 40 years old,Female,College Graduate,Region XIII: Caraga,MAFFISCO-MPC,4,4,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,4,3,3,3,2,4,3,3,3,4,3,3,4,2,3,2,3,3,3,3,3,3,3
7/11/2022 10:21:29,AGREE,21 to 30 years old,Female,College Level,Region XIII: Caraga,MAFFISCO-MPC,4,4,3,3,3,3,3,4,4,4,3,4,4,3,3,4,3,4,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,4,2,3,3,3,3,3
7/11/2022 10:31:49,AGREE,21 to 30 years old,Male,College Level,Cordillera Administrative Region (CAR),MAFFISCO-MPC,3,3,4,4,4,3,3,4,3,3,3,4,4,3,3,4,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3,4,3,4,4,4,3,3,3
7/11/2022 10:38:47,AGREE,21 to 30 years old,Male,College Level,Region XIII: Caraga,MAFFISCO-MPC,3,3,4,4,4,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3,3,3,4,4,4,3,3,4
7/11/2022 10:42:01,AGREE,31 to 40 years old,Female,College Level,Region XIII: Caraga,MAFFISCO-MPC,4,4,4,4,4,4,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3
7/11/2022 11:15:46,AGREE,31 to 40 years old,Female,College Graduate,Region XIII: Caraga,MAFFISCO-MPC,4,4,4,4,4,2,3,4,4,4,3,4,4,3,3,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,2,3,4,3,3,3
7/11/2022 11:49:09,AGREE,41 to 50 years old,Male,High School Level,Region XIII: Caraga,MAFFISCO-MPC,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7/11/2022 11:52:01,AGREE,31 to 40 years old,Male,College Graduate,Region XIII: Caraga,MAFFISCO-MPC,4,4,3,4,4,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,3,4,4,4,4,4,4,4,3,3,4,4
7/11/2022 11:58:29,AGREE,31 to 40 years old,Female,College Graduate,Region XIII: Caraga,MAFFISCO-MPC,3,3,2,3,3,2,2,3,3,3,2,4,4,2,3,2,2,3,3,3,3,3,3,2,2,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3
7/11/2022 13:43:17,AGREE,31 to 40 years old,Male,College Graduate,Region XIII: Caraga,MAFFISCO-MPC,4,4,3,4,4,3,3,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,3,4,3,4,3,4,3,4,4
7/11/2022 14:03:10,AGREE,41 to 50 years old,Male,College Level,Region XIII: Caraga,MAFFISCO-MPC,3,4,4,3,3,3,3,4,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7/11/2022 14:32:06,AGREE,50 to 60 years old,Female,College Graduate,Region XIII: Caraga,MAFFISCO-MPC,3,3,2,2,3,3,2,2,2,2,2,3,3,3,3,2,2,2,3,2,2,2,2,3,2,2,2,3,2,3,2,2,3,3,3,2,2,3,3,2
7/11/2022 14:42:37,AGREE,21 to 30 years old,Male,College Graduate,Region XIII: Caraga,MAFFISCO-MPC,3,4,3,4,3,3,2,3,3,3,2,3,4,4,3,3,4,3,3,3,3,4,3,4,4,3,3,2,3,3,4,3,3,2,3,3,3,3,3,4
7/11/2022 14:45:54,AGREE,31 to 40 years old,Male,College Level,Region XIII: Caraga,MAFFISCO-MPC,2,4,3,4,4,3,3,3,3,4,2,4,4,3,4,4,4,3,4,4,4,4,4,3,3,2,3,4,4,4,2,2,3,3,3,4,4,4,4,4
7/11/2022 14:49:16,AGREE,50 to 60 years old,Male,High School Graduate,Region XIII: Caraga,MAFFISCO-MPC,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,4,3,3,3,3,3,4,3,3,2,2,3,3,3,3,3,3,4,3,3,3,3,2,2,3
7/11/2022 16:20:18,AGREE,31 to 40 years old,Male,College Level,Region XIII: Caraga,MAFFISCO-MPC,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7/11/2022 16:23:15,AGREE,21 to 30 years old,Male,High School Graduate,Region XIII: Caraga,MAFFISCO-MPC,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7/11/2022 16:39:20,AGREE,31 to 40 years old,Male,High School Graduate,Cordillera Administrative Region (CAR),MAFFISCO-MPC,4,4,4,4,4,3,3,3,4,3,4,3,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
7/11/2022 17:44:09,AGREE,41 to 50 years old,Male,High School Graduate,Region XIII: Caraga,MAFFISCO-MPC,2,3,3,3,3,3,3,3,4,3,4,3,3,4,3,4,3,3,4,2,3,3,3,3,3,3,3,4,3,4,3,4,3,2,3,3,3,3,3,3
7/12/2022 11:38:21,AGREE,31 to 40 years old,Male,High School Graduate,Region XIII: Caraga,MAFFISCO-MPC,3,4,4,4,4,3,3,3,3,3,4,4,4,3,2,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,3,2,3,3,3,3
7/12/2022 13:07:58,AGREE,41 to 50 years old,Male,High School Graduate,Region XIII: Caraga,MAFFISCO-MPC,3,3,4,3,3,3,3,4,4,4,3,4,3,3,2,4,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
7/12/2022 13:17:04,AGREE,31 to 40 years old,Male,High School Graduate,Region XIII: Caraga,MAFFISCO-MPC,4,4,3,3,3,3,3,4,4,3,3,3,4,3,2,4,3,3,4,3,4,4,3,3,4,3,3,4,3,4,3,3,3,4,4,4,4,4,4,4
7/12/2022 13:33:29,AGREE,31 to 40 years old,Male,High School Graduate,Region XIII: Caraga,MAFFISCO-MPC,4,4,3,3,3,3,4,4,3,3,4,4,4,4,3,4,4,3,3,4,4,3,3,3,4,3,4,3,3,3,3,4,3,4,4,4,4,3,4,4
